,Forecast
100,2128.9877658196842
101,2124.6500664214223
102,2148.4530430726772
103,2189.4736803832943
104,2171.855589336802
105,2170.6228106151934
106,2170.7357100322024
107,2184.724681514838
108,2168.5388850091526
109,2156.1922376407597
110,2154.1766260851127
111,2193.1640309320765
112,2252.3804238603416
113,2254.6305178124235
114,2290.6271017540685
115,2341.238211067671
116,2326.3138954340693
117,2337.3934901036346
118,2330.6007814877585
119,2324.9660383552155
120,2309.8455265343555
121,2309.169512840775
122,2317.1560928981635
123,2352.502178427847
124,2431.1764569712977
125,2428.0399702099917
126,2445.219040950677
127,2488.1288660347964
128,2468.265274918912
129,2473.3189527814293
130,2474.814075069618
131,2475.055883661425
132,2469.643760520561
133,2465.3150740768156
134,2470.3743062967415
135,2495.0167916694227
