,Date,Open,High,Low,Close
99,2021-02-19,2107.79,2118.58,2083.43,2088.81
98,2021-02-18,2105.0,2121.99,2093.33,2105.81
97,2021-02-17,2093.98,2122.4434,2088.35,2118.62
96,2021-02-16,2091.75,2145.14,2091.75,2110.7
95,2021-02-12,2079.77,2099.5,2073.57,2095.03
94,2021-02-11,2091.0,2094.0,2068.86,2088.75
93,2021-02-10,2083.14,2098.88,2052.24,2086.48
92,2021-02-09,2074.8,2098.51,2070.0,2075.39
91,2021-02-08,2100.0,2115.0,2063.35,2084.52
90,2021-02-05,2059.56,2095.94,2050.0,2088.83
89,2021-02-04,2060.6156,2069.3,2035.1,2053.63
88,2021-02-03,2065.61,2106.6234,2013.55,2058.88
87,2021-02-02,1913.13,1949.37,1906.37,1919.12
86,2021-02-01,1844.585,1915.54,1844.585,1893.07
85,2021-01-29,1834.02,1847.535,1801.5601,1827.36
84,2021-01-28,1831.0,1887.99,1831.0,1853.2
83,2021-01-27,1874.91,1880.47,1797.28,1818.94
82,2021-01-26,1885.99,1915.75,1876.13,1907.95
81,2021-01-25,1912.74,1921.82,1859.16,1894.28
80,2021-01-22,1891.46,1904.39,1876.495,1892.56
79,2021-01-21,1893.65,1932.08,1879.41,1884.15
78,2021-01-20,1826.37,1899.7234,1819.51,1880.07
77,2021-01-19,1743.0,1803.84,1732.83,1784.47
76,2021-01-15,1729.02,1747.62,1711.71,1727.62
75,2021-01-14,1748.87,1767.5499,1726.07,1730.92
74,2021-01-13,1727.32,1756.39,1727.32,1747.25
73,2021-01-12,1745.36,1767.9,1716.375,1737.43
72,2021-01-11,1777.02,1784.38,1752.14,1756.29
71,2021-01-08,1777.16,1799.355,1761.22,1797.83
70,2021-01-07,1726.76,1777.82,1726.76,1774.34
69,2021-01-06,1700.255,1743.965,1696.1014,1722.88
68,2021-01-05,1725.09,1746.83,1716.9,1740.05
67,2021-01-04,1760.0,1762.4899,1707.14,1726.13
66,2020-12-31,1737.27,1757.5,1736.09,1752.64
65,2020-12-30,1765.0,1767.76,1728.0,1736.25
64,2020-12-29,1787.23,1788.47,1755.11,1757.76
63,2020-12-28,1744.91,1787.0,1741.82,1773.96
62,2020-12-24,1729.0,1742.41,1724.35,1734.16
61,2020-12-23,1723.93,1744.11,1721.2,1728.23
60,2020-12-22,1729.33,1732.6123,1705.78,1720.22
59,2020-12-21,1709.13,1737.0,1694.0,1734.56
58,2020-12-18,1746.1702,1748.36,1715.0,1726.22
57,2020-12-17,1763.93,1766.71,1731.15,1740.51
56,2020-12-16,1769.11,1769.11,1749.06,1757.19
55,2020-12-15,1759.86,1764.0,1741.67,1761.08
54,2020-12-14,1770.72,1789.8,1749.13,1752.26
53,2020-12-11,1760.0,1777.31,1752.74,1774.8
52,2020-12-10,1762.6,1774.99,1733.527,1767.65
51,2020-12-09,1810.36,1828.37,1762.0001,1777.86
50,2020-12-08,1808.52,1815.97,1791.28,1811.33
49,2020-12-07,1815.55,1829.29,1803.04,1817.03
48,2020-12-04,1820.22,1829.4994,1813.59,1823.76
47,2020-12-03,1820.54,1843.83,1817.0,1821.84
46,2020-12-02,1795.36,1832.74,1785.1695,1824.97
45,2020-12-01,1766.655,1821.7199,1763.03,1795.36
44,2020-11-30,1775.65,1780.335,1747.84,1754.4
43,2020-11-27,1764.54,1797.01,1764.54,1787.02
42,2020-11-25,1767.81,1770.38,1748.36,1764.13
41,2020-11-24,1727.5,1766.475,1720.73,1763.9
40,2020-11-23,1740.22,1745.99,1710.18,1727.56
39,2020-11-20,1762.0,1768.3625,1735.0,1736.38
38,2020-11-19,1733.23,1763.49,1730.02,1758.57
37,2020-11-18,1756.64,1765.0,1738.5658,1740.64
36,2020-11-17,1767.86,1777.14,1759.49,1761.66
35,2020-11-16,1764.14,1794.34,1761.33,1774.03
34,2020-11-13,1748.0,1777.13,1735.98,1772.26
33,2020-11-12,1742.0,1764.98,1737.97,1742.82
32,2020-11-11,1748.4,1762.9,1743.06,1747.23
31,2020-11-10,1729.77,1759.38,1716.12,1737.72
30,2020-11-09,1795.98,1816.89,1757.545,1761.42
29,2020-11-06,1751.34,1768.495,1736.68,1759.73
28,2020-11-05,1770.45,1791.818,1741.03,1762.5
27,2020-11-04,1705.5803,1770.03,1703.0,1745.85
26,2020-11-03,1630.76,1659.0,1612.108,1645.66
25,2020-11-02,1623.54,1658.24,1614.24,1624.32
24,2020-10-30,1667.44,1681.315,1601.57,1616.11
23,2020-10-29,1517.02,1588.735,1516.55,1556.88
22,2020-10-28,1550.01,1553.81,1508.48,1510.8
21,2020-10-27,1588.9319,1602.0,1576.99,1598.88
20,2020-10-26,1615.0,1629.58,1567.78,1584.29
19,2020-10-23,1615.05,1634.12,1611.91,1632.98
18,2020-10-22,1585.0,1613.42,1577.48,1606.66
17,2020-10-21,1569.85,1615.14,1567.135,1585.99
16,2020-10-20,1523.11,1573.84,1520.5,1551.08
15,2020-10-19,1575.93,1583.925,1522.92,1529.95
14,2020-10-16,1561.83,1577.71,1557.66,1567.7
13,2020-10-15,1544.5,1571.395,1541.1301,1555.47
12,2020-10-14,1574.6,1583.85,1545.895,1563.44
11,2020-10-13,1577.01,1585.16,1558.63,1567.07
10,2020-10-12,1538.0,1588.42,1529.3,1564.59
9,2020-10-09,1492.86,1511.85,1487.0,1510.45
8,2020-10-08,1465.45,1488.0275,1465.45,1483.43
7,2020-10-07,1459.31,1468.97,1433.23,1459.14
6,2020-10-06,1475.5,1484.52,1445.01,1451.02
5,2020-10-05,1462.65,1484.7,1460.09,1482.83
4,2020-10-02,1459.63,1479.03,1447.35,1455.6
3,2020-10-01,1483.6608,1495.07,1476.8,1487.9
2,2020-09-30,1460.935,1486.1975,1455.755,1465.6
1,2020-09-29,1463.91,1472.0,1454.0,1466.02
0,2020-09-28,1471.99,1472.99,1446.28,1458.66
